Oyuncu,Takim,Ana_Mevki,Yas,Piyasa_Degeri_Euro,Gol,Asist,Gol_Beklentisi_xG,Mac_Sayisi,Oynadigi_Sure_Dk,Uyruk,Genel_Pozisyon,Lig,Ilk_11,90_Dk_Sayisi,Skor_Katkisi,Penaltisiz_Gol,Penalti_Gol,Penalti_Kullanimi,Sari_Kart,Kirmizi_Kart,Penaltisiz_Gol_Beklentisi_npxG,Asist_Beklentisi_xAG,Penaltisiz_Toplam_Beklenti,Top_Surme_Mesafe,Ileri_Pas_Sayisi,Ileri_Pas_Alma,Mac_Basi_Gol,Mac_Basi_Asist,Mac_Basi_Skor_Katkisi,Mac_Basi_Penaltisiz_Gol,Mac_Basi_Penaltisiz_Skor,Mac_Basi_xG,Mac_Basi_Asist_Beklentisi,Mac_Basi_Toplam_Beklenti,Mac_Basi_Penaltisiz_xG,Mac_Basi_Penaltisiz_Toplam_Beklenti,Boy_m,Ayak,Yas_Detay,Top_Calma_Toplam,Kazanilan_Top_Calma,Top_Calma_Defans_Bolgesi,Top_Calma_Orta_Saha,Top_Calma_Hucum_Bolgesi,Dribbling_Kesme,Calim_Yeme,Blok_Toplam,Sut_Blogu,Pas_Blogu,Pas_Arasi,Uzaklastirma,Hata_Gol_Yediren
Jude Bellingham,Real Madrid,On Numara,22.0,160000000.0,3.0,3.0,4.3,13.0,922.0,ENG,MF,La Liga (ISP),10.0,10.2,6.0,3.0,0.0,0.0,1.0,0.0,4.3,2.2,6.5,20.0,93.0,51.0,0.29,0.29,0.59,0.29,0.59,0.42,0.22,0.64,0.42,0.64,1.86,Sag ayak,22-171,31.0,22.0,11.0,14.0,6.0,14.0,7.0,12.0,0.0,12.0,8.0,9.0,0.0
Franco Mastantuono,Real Madrid,Sag Kanat,18.0,50000000.0,1.0,0.0,2.0,10.0,548.0,ARG,FW,La Liga (ISP),7.0,6.1,1.0,1.0,0.0,0.0,3.0,0.0,2.0,0.7,2.7,8.0,19.0,69.0,0.16,0.0,0.16,0.16,0.16,0.32,0.11,0.44,0.32,0.44,1.78,Sol ayak,18-125,12.0,8.0,3.0,4.0,5.0,7.0,12.0,9.0,0.0,9.0,0.0,1.0,1.0
Raul Asencio,Real Madrid,Stoper,22.0,30000000.0,0.0,0.0,0.4,11.0,675.0,ESP,DF,La Liga (ISP),6.0,7.5,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.1,0.6,5.0,29.0,6.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08,1.84,Sag ayak,22-307,8.0,7.0,5.0,3.0,0.0,5.0,3.0,11.0,8.0,3.0,5.0,31.0,0.0
Trent Alexander-Arnold,Real Madrid,Sag Bek,27.0,70000000.0,0.0,1.0,0.1,8.0,392.0,ENG,DF,La Liga (ISP),5.0,4.4,1.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,1.0,6.0,17.0,24.0,0.0,0.23,0.23,0.0,0.23,0.01,0.22,0.23,0.01,0.23,1.8,Sag ayak,27-071,8.0,5.0,2.0,5.0,1.0,6.0,5.0,2.0,1.0,1.0,8.0,3.0,0.0
Eduardo Camavinga,Real Madrid,Merkez Orta Saha,23.0,50000000.0,1.0,0.0,0.8,11.0,493.0,FRA,MF,La Liga (ISP),4.0,5.5,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,1.7,11.0,33.0,16.0,0.18,0.0,0.18,0.18,0.18,0.15,0.15,0.3,0.15,0.3,1.82,Sol ayak,23-037,23.0,12.0,15.0,6.0,2.0,14.0,7.0,11.0,2.0,9.0,4.0,9.0,0.0
Rodrygo,Real Madrid,Sag Kanat,24.0,60000000.0,1.0,0.0,1.5,15.0,468.0,BRA,FW,La Liga (ISP),4.0,5.2,1.0,1.0,0.0,0.0,2.0,0.0,1.5,0.7,2.1,30.0,16.0,57.0,0.19,0.0,0.19,0.19,0.19,0.28,0.13,0.41,0.28,0.41,1.74,Sag ayak,24-342,9.0,5.0,2.0,5.0,2.0,6.0,6.0,5.0,0.0,5.0,1.0,4.0,0.0
Antonio Rudiger,Real Madrid,Stoper,32.0,12000000.0,0.0,0.0,0.0,5.0,427.0,GER,DF,La Liga (ISP),4.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,3.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,1.9,Sag ayak,32-289,8.0,4.0,3.0,4.0,1.0,5.0,0.0,3.0,2.0,1.0,2.0,15.0,0.0
Dani Carvajal,Real Madrid,Sag Bek,33.0,7000000.0,0.0,0.0,0.2,7.0,376.0,ESP,DF,La Liga (ISP),4.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.7,3.0,18.0,20.0,0.0,0.0,0.0,0.0,0.0,0.04,0.12,0.16,0.04,0.16,1.73,Sag ayak,33-340,9.0,7.0,3.0,4.0,2.0,6.0,5.0,4.0,1.0,3.0,2.0,14.0,0.0
Dani Ceballos,Real Madrid,Merkez Orta Saha,29.0,8000000.0,0.0,0.0,0.0,10.0,357.0,ESP,MF,La Liga (ISP),4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4,6.0,40.0,10.0,0.0,0.0,0.0,0.0,0.0,0.01,0.08,0.09,0.01,0.09,1.79,Sag ayak,29-132,17.0,10.0,3.0,11.0,3.0,9.0,6.0,12.0,4.0,8.0,6.0,5.0,0.0
Fran Garcia,Real Madrid,Sol Bek,26.0,15000000.0,0.0,0.0,0.0,5.0,321.0,ESP,DF,La Liga (ISP),4.0,3.6,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.1,0.1,8.0,9.0,45.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,1.69,Sol ayak,26-125,7.0,2.0,3.0,2.0,2.0,4.0,2.0,5.0,2.0,3.0,4.0,3.0,0.0
Brahim Diaz,Real Madrid,Sag Kanat,26.0,35000000.0,0.0,2.0,0.3,12.0,319.0,MAR,FW,La Liga (ISP),3.0,3.5,2.0,0.0,0.0,0.0,1.0,0.0,0.3,1.7,1.9,13.0,9.0,33.0,0.0,0.56,0.56,0.0,0.56,0.08,0.47,0.55,0.08,0.55,1.7,Cift ayak,26-136,6.0,3.0,0.0,1.0,5.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0
Gonzalo Garcia,Real Madrid,Santrafor,21.0,15000000.0,0.0,0.0,1.3,12.0,170.0,ESP,FW,La Liga (ISP),1.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.3,1.6,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.67,0.15,0.82,0.67,0.82,1.82,Cift ayak,21-268,4.0,2.0,2.0,2.0,0.0,2.0,0.0,3.0,0.0,3.0,1.0,2.0,0.0
David Alaba,Real Madrid,Stoper,33.0,4000000.0,0.0,0.0,0.0,3.0,57.0,AUT,DF,La Liga (ISP),1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,1.8,Sol ayak,33-176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0
Endrick,Real Madrid,Santrafor,19.0,25000000.0,0.0,0.0,0.0,1.0,12.0,BRA,FW,La Liga (ISP),0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73,Sol ayak,19-149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santi Comesana,Villarreal,Merkez Orta Saha,29.0,8000000.0,2.0,2.0,2.6,14.0,973.0,ESP,MF,La Liga (ISP),12.0,10.8,4.0,2.0,0.0,0.0,2.0,0.0,2.6,1.2,3.7,13.0,56.0,38.0,0.18,0.18,0.37,0.18,0.37,0.24,0.11,0.35,0.24,0.35,1.88,Cift ayak,29-073,24.0,11.0,11.0,9.0,4.0,10.0,11.0,17.0,8.0,9.0,9.0,22.0,2.0
Alberto Moleiro,Villarreal,Sol Kanat,22.0,30000000.0,6.0,2.0,3.4,15.0,905.0,ESP,MF,La Liga (ISP),12.0,10.1,8.0,6.0,0.0,0.0,2.0,0.0,3.4,1.9,5.3,32.0,32.0,58.0,0.6,0.2,0.8,0.6,0.8,0.34,0.19,0.53,0.34,0.53,1.71,Sag ayak,22-078,9.0,7.0,0.0,6.0,3.0,7.0,15.0,14.0,3.0,11.0,3.0,4.0,1.0
Rafa Marin,Villarreal,Stoper,23.0,12000000.0,1.0,0.0,0.3,11.0,979.0,ESP,DF,La Liga (ISP),11.0,10.9,1.0,1.0,0.0,0.0,1.0,0.0,0.3,0.1,0.4,7.0,41.0,0.0,0.09,0.0,0.09,0.09,0.09,0.03,0.01,0.04,0.03,0.04,1.91,Sag ayak,23-212,19.0,11.0,14.0,5.0,0.0,17.0,5.0,11.0,9.0,2.0,10.0,66.0,2.0
Renato Veiga,Villarreal,Stoper,22.0,25000000.0,0.0,0.0,0.1,13.0,975.0,POR,DF,La Liga (ISP),10.0,10.8,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.2,9.0,39.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.01,0.02,1.9,Sol ayak,22-141,4.0,1.0,3.0,0.0,1.0,4.0,2.0,16.0,12.0,4.0,7.0,58.0,0.0
Santiago Mourino,Villarreal,Sag Bek,23.0,10000000.0,0.0,1.0,0.3,10.0,886.0,URU,DF,La Liga (ISP),10.0,9.8,1.0,0.0,0.0,0.0,6.0,1.0,0.3,0.1,0.3,12.0,32.0,3.0,0.0,0.1,0.1,0.0,0.1,0.03,0.01,0.03,0.03,0.03,1.86,Sag ayak,23-307,43.0,30.0,26.0,15.0,2.0,30.0,21.0,13.0,4.0,9.0,13.0,40.0,2.0
Tajon Buchanan,Villarreal,Sag Kanat,26.0,10000000.0,5.0,0.0,0.9,15.0,897.0,CAN,MF,La Liga (ISP),9.0,10.0,5.0,5.0,0.0,0.0,4.0,0.0,0.9,1.3,2.2,34.0,25.0,75.0,0.5,0.0,0.5,0.5,0.5,0.09,0.13,0.22,0.09,0.22,1.83,Sag ayak,26-312,15.0,13.0,8.0,5.0,2.0,11.0,6.0,7.0,0.0,7.0,13.0,9.0,0.0
Nicolas Pepe,Villarreal,Sag Kanat,30.0,6000000.0,2.0,1.0,4.5,14.0,861.0,CIV,FW,La Liga (ISP),9.0,9.6,3.0,2.0,0.0,0.0,2.0,0.0,4.5,2.2,6.7,53.0,51.0,90.0,0.21,0.1,0.31,0.21,0.31,0.47,0.23,0.7,0.47,0.7,1.83,Sol ayak,30-202,15.0,10.0,4.0,8.0,3.0,5.0,7.0,3.0,0.0,3.0,7.0,7.0,0.0
Sergi Cardona,Villarreal,Sol Bek,26.0,10000000.0,0.0,2.0,0.4,12.0,830.0,ESP,DF,La Liga (ISP),9.0,9.2,2.0,0.0,0.0,0.0,1.0,0.0,0.4,1.1,1.5,21.0,29.0,59.0,0.0,0.22,0.22,0.0,0.22,0.04,0.12,0.17,0.04,0.17,1.86,Cift ayak,26-162,18.0,11.0,12.0,4.0,2.0,11.0,7.0,17.0,1.0,16.0,17.0,24.0,3.0
Pape Gueye,Villarreal,On Libero,26.0,20000000.0,2.0,1.0,1.0,13.0,776.0,SEN,MF,La Liga (ISP),9.0,8.6,3.0,2.0,0.0,0.0,5.0,0.0,1.0,1.0,1.9,12.0,65.0,18.0,0.23,0.12,0.35,0.23,0.35,0.11,0.11,0.22,0.11,0.22,1.89,Sol ayak,26-327,11.0,7.0,3.0,8.0,0.0,6.0,2.0,11.0,4.0,7.0,11.0,15.0,2.0
Juan Foyth,Villarreal,Stoper,27.0,15000000.0,0.0,0.0,0.1,9.0,720.0,ARG,DF,La Liga (ISP),9.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.1,2.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,1.87,Sag ayak,27-339,15.0,10.0,13.0,2.0,0.0,10.0,1.0,9.0,7.0,2.0,13.0,40.0,0.0
Thomas Partey,Villarreal,On Libero,32.0,5000000.0,0.0,0.0,0.4,12.0,630.0,GHA,MF,La Liga (ISP),7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.6,15.0,28.0,13.0,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.05,0.08,1.85,Sag ayak,32-187,11.0,3.0,3.0,5.0,3.0,4.0,5.0,10.0,2.0,8.0,11.0,10.0,0.0
Gerard Moreno,Villarreal,Santrafor,33.0,2800000.0,4.0,0.0,2.0,7.0,437.0,ESP,FW,La Liga (ISP),7.0,4.9,4.0,3.0,1.0,1.0,0.0,0.0,1.2,1.4,2.6,13.0,30.0,26.0,0.82,0.0,0.82,0.62,0.62,0.41,0.29,0.7,0.25,0.54,1.8,Sol ayak,33-254,6.0,3.0,1.0,5.0,0.0,3.0,2.0,5.0,1.0,4.0,2.0,4.0,0.0
Alfonso Pedraza,Villarreal,Sol Bek,29.0,2500000.0,0.0,2.0,0.3,11.0,619.0,ESP,DF,La Liga (ISP),6.0,6.9,2.0,0.0,0.0,0.0,3.0,0.0,0.3,2.1,2.4,28.0,14.0,64.0,0.0,0.29,0.29,0.0,0.29,0.04,0.31,0.35,0.04,0.35,1.84,Sol ayak,29-252,16.0,13.0,7.0,7.0,2.0,8.0,3.0,7.0,2.0,5.0,6.0,15.0,2.0
Georges Mikautadze,Villarreal,Santrafor,25.0,28000000.0,3.0,2.0,2.2,10.0,559.0,GEO,FW,La Liga (ISP),6.0,6.2,5.0,3.0,0.0,0.0,0.0,0.0,2.2,0.9,3.2,9.0,13.0,38.0,0.48,0.32,0.81,0.48,0.81,0.36,0.15,0.51,0.36,0.51,1.76,Sag ayak,25-047,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,0.0,2.0,0.0
Pau Navarro,Villarreal,Sag Bek,20.0,5000000.0,0.0,0.0,0.0,5.0,417.0,ESP,DF,La Liga (ISP),5.0,4.6,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,1.85,Sag ayak,20-236,23.0,11.0,10.0,9.0,4.0,18.0,11.0,7.0,4.0,3.0,3.0,18.0,1.0
Tani Oluwaseyi,Villarreal,Santrafor,25.0,8000000.0,2.0,1.0,3.2,12.0,451.0,CAN,FW,La Liga (ISP),4.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,3.2,1.3,4.6,11.0,5.0,17.0,0.4,0.2,0.6,0.4,0.6,0.65,0.26,0.91,0.65,0.91,1.88,Sag ayak,25-216,4.0,3.0,0.0,0.0,4.0,3.0,3.0,5.0,1.0,4.0,0.0,3.0,1.0
Daniel Parejo,Villarreal,Merkez Orta Saha,36.0,1200000.0,0.0,0.0,0.1,12.0,431.0,ESP,MF,La Liga (ISP),4.0,4.8,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.8,0.9,6.0,28.0,3.0,0.0,0.0,0.0,0.0,0.0,0.03,0.17,0.2,0.03,0.2,1.82,Sag ayak,36-245,8.0,7.0,4.0,4.0,0.0,4.0,1.0,5.0,2.0,3.0,5.0,6.0,2.0
Ayoze Perez,Villarreal,Santrafor,32.0,6000000.0,2.0,3.0,1.5,8.0,338.0,ESP,FW,La Liga (ISP),3.0,3.8,5.0,2.0,0.0,0.0,1.0,0.0,1.5,0.9,2.3,12.0,18.0,21.0,0.53,0.8,1.33,0.53,1.33,0.39,0.23,0.62,0.39,0.62,1.78,Sag ayak,32-141,9.0,3.0,2.0,4.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,4.0,0.0
Karl Etta Eyong,Villarreal,Santrafor,22.0,20000000.0,1.0,2.0,0.9,3.0,256.0,CMR,FW,La Liga (ISP),3.0,2.8,3.0,1.0,0.0,0.0,0.0,0.0,0.9,0.7,1.7,3.0,4.0,10.0,0.35,0.7,1.05,0.35,1.05,0.33,0.26,0.59,0.33,0.59,1.81,Sag ayak,22-064,4.0,2.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0
Ilias Akhomach,Villarreal,Sag Kanat,21.0,12000000.0,0.0,0.0,0.6,9.0,188.0,MAR,MF,La Liga (ISP),2.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.7,1.3,9.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,0.3,0.32,0.62,0.3,0.62,1.75,Sol ayak,21-245,8.0,4.0,4.0,4.0,0.0,3.0,0.0,6.0,2.0,4.0,0.0,2.0,0.0
Yeremi Pino,Villarreal,Sag Kanat,23.0,35000000.0,0.0,1.0,0.2,2.0,159.0,ESP,MF,La Liga (ISP),2.0,1.8,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.9,1.0,6.0,18.0,18.0,0.0,0.57,0.57,0.0,0.57,0.09,0.48,0.57,0.09,0.57,1.72,Sag ayak,23-058,2.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0
Manor Solomon,Villarreal,Sol Kanat,26.0,9000000.0,1.0,1.0,0.4,6.0,150.0,ISR,MF,La Liga (ISP),1.0,1.7,2.0,1.0,0.0,0.0,0.0,0.0,0.4,0.3,0.7,6.0,7.0,13.0,0.6,0.6,1.2,0.6,1.2,0.25,0.16,0.41,0.25,0.41,1.7,Sag ayak,26-146,1.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0
Adria Altimira,Villarreal,Sag Bek,24.0,1400000.0,0.0,0.0,0.0,1.0,9.0,ESP,DF,La Liga (ISP),0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,Sag ayak,24-264,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julian Alvarez,Atletico Madrid,Santrafor,25.0,100000000.0,7.0,2.0,6.2,17.0,1237.0,ARG,FW,La Liga (ISP),16.0,13.7,9.0,5.0,2.0,3.0,2.0,0.0,3.9,4.3,8.1,36.0,60.0,77.0,0.51,0.15,0.65,0.36,0.51,0.45,0.31,0.76,0.28,0.59,1.7,Sag ayak,25-320,11.0,6.0,2.0,4.0,5.0,2.0,7.0,9.0,0.0,9.0,2.0,3.0,0.0
David Hancko,Atletico Madrid,Stoper,28.0,30000000.0,0.0,2.0,0.6,17.0,1352.0,SVK,DF,La Liga (ISP),15.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.6,1.8,2.4,28.0,95.0,45.0,0.0,0.13,0.13,0.0,0.13,0.04,0.12,0.16,0.04,0.16,1.88,Sol ayak,28-004,26.0,17.0,16.0,7.0,3.0,16.0,12.0,12.0,5.0,7.0,11.0,48.0,1.0
Pablo Barrios,Atletico Madrid,Merkez Orta Saha,22.0,60000000.0,1.0,0.0,1.4,16.0,1212.0,ESP,MF,La Liga (ISP),14.0,13.5,1.0,1.0,0.0,0.0,0.0,0.0,1.4,0.7,2.1,36.0,90.0,43.0,0.07,0.0,0.07,0.07,0.07,0.1,0.05,0.16,0.1,0.16,1.81,Sag ayak,22-185,19.0,11.0,8.0,8.0,3.0,9.0,11.0,14.0,1.0,13.0,21.0,12.0,4.0
Giuliano Simeone,Atletico Madrid,Sag Kanat,22.0,40000000.0,2.0,4.0,3.1,16.0,1180.0,ARG,MF,La Liga (ISP),13.0,13.1,6.0,2.0,0.0,0.0,1.0,0.0,3.1,3.0,6.1,37.0,32.0,119.0,0.15,0.31,0.46,0.15,0.46,0.24,0.23,0.46,0.24,0.46,1.73,Sag ayak,22-364,26.0,16.0,16.0,7.0,3.0,13.0,25.0,10.0,1.0,9.0,11.0,10.0,1.0
Marcos Llorente,Atletico Madrid,Sag Bek,30.0,22000000.0,0.0,3.0,1.2,13.0,1093.0,ESP,DF,La Liga (ISP),13.0,12.1,3.0,0.0,0.0,0.0,3.0,0.0,1.2,1.5,2.7,39.0,59.0,74.0,0.0,0.25,0.25,0.0,0.25,0.1,0.12,0.22,0.1,0.22,1.84,Sag ayak,30-321,28.0,17.0,20.0,6.0,2.0,16.0,8.0,8.0,1.0,7.0,6.0,29.0,0.0
Koke,Atletico Madrid,Merkez Orta Saha,33.0,7000000.0,1.0,2.0,0.2,16.0,1091.0,ESP,MF,La Liga (ISP),12.0,12.1,3.0,1.0,0.0,0.0,4.0,0.0,0.2,1.3,1.5,2.0,79.0,11.0,0.08,0.16,0.25,0.08,0.25,0.02,0.11,0.12,0.02,0.12,1.76,Sag ayak,33-343,24.0,13.0,11.0,9.0,4.0,10.0,16.0,10.0,0.0,10.0,10.0,15.0,0.0
Nicolas Gonzalez,Atletico Madrid,Sol Kanat,27.0,24000000.0,1.0,0.0,2.0,14.0,904.0,ARG,MF,La Liga (ISP),12.0,10.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,1.3,3.3,21.0,26.0,72.0,0.1,0.0,0.1,0.1,0.1,0.2,0.13,0.33,0.2,0.33,1.8,Sol ayak,27-255,14.0,9.0,7.0,2.0,5.0,8.0,13.0,13.0,2.0,11.0,9.0,19.0,1.0
Robin Le Normand,Atletico Madrid,Stoper,29.0,30000000.0,1.0,0.0,0.4,11.0,931.0,ESP,DF,La Liga (ISP),10.0,10.3,1.0,1.0,0.0,0.0,2.0,0.0,0.4,0.0,0.4,3.0,33.0,0.0,0.1,0.0,0.1,0.1,0.1,0.04,0.0,0.04,0.04,0.04,1.87,Sag ayak,29-036,16.0,9.0,12.0,3.0,1.0,9.0,6.0,9.0,3.0,6.0,5.0,50.0,1.0
Clement Lenglet,Atletico Madrid,Stoper,30.0,6000000.0,0.0,0.0,0.1,9.0,730.0,FRA,DF,La Liga (ISP),9.0,8.1,0.0,0.0,0.0,0.0,3.0,1.0,0.1,0.2,0.2,7.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,1.86,Sol ayak,30-183,5.0,3.0,4.0,1.0,0.0,4.0,3.0,9.0,5.0,4.0,11.0,30.0,0.0
Alex Baena,Atletico Madrid,Sol Kanat,24.0,55000000.0,2.0,1.0,1.2,10.0,551.0,ESP,MF,La Liga (ISP),8.0,6.1,3.0,2.0,0.0,0.0,2.0,0.0,1.2,2.5,3.7,19.0,37.0,47.0,0.33,0.16,0.49,0.33,0.49,0.19,0.41,0.6,0.19,0.6,1.74,Sag ayak,24-150,9.0,5.0,4.0,3.0,2.0,5.0,3.0,5.0,1.0,4.0,6.0,3.0,0.0
Alexander Sørloth,Atletico Madrid,Santrafor,30.0,20000000.0,4.0,0.0,3.7,16.0,732.0,NOR,FW,La Liga (ISP),7.0,8.1,4.0,4.0,0.0,0.0,3.0,1.0,3.7,0.4,4.1,16.0,8.0,49.0,0.49,0.0,0.49,0.49,0.49,0.45,0.05,0.51,0.45,0.51,1.95,Sol ayak,30-012,4.0,3.0,0.0,4.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,7.0,0.0
Matteo Ruggeri,Atletico Madrid,Sol Bek,23.0,15000000.0,0.0,0.0,0.1,11.0,639.0,ITA,DF,La Liga (ISP),7.0,7.1,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.6,0.7,14.0,30.0,45.0,0.0,0.0,0.0,0.0,0.0,0.01,0.08,0.09,0.01,0.09,1.87,Sol ayak,23-159,22.0,16.0,10.0,6.0,6.0,12.0,6.0,10.0,1.0,9.0,6.0,30.0,0.0
Jose Maria Gimenez,Atletico Madrid,Stoper,30.0,14000000.0,0.0,0.0,1.1,7.0,544.0,URU,DF,La Liga (ISP),6.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,1.1,0.0,1.1,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.17,0.17,1.85,Sag ayak,30-331,8.0,4.0,4.0,4.0,0.0,6.0,5.0,6.0,5.0,1.0,6.0,29.0,1.0
Nahuel Molina,Atletico Madrid,Sag Bek,27.0,15000000.0,0.0,1.0,0.0,13.0,541.0,ARG,DF,La Liga (ISP),6.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2,1.2,11.0,22.0,24.0,0.0,0.17,0.17,0.0,0.17,0.01,0.19,0.2,0.01,0.2,1.75,Sag ayak,27-255,15.0,9.0,8.0,7.0,0.0,8.0,13.0,8.0,2.0,6.0,5.0,16.0,1.0
Antoine Griezmann,Atletico Madrid,Forvet Arkasi,34.0,11000000.0,5.0,0.0,4.5,17.0,658.0,FRA,FW,La Liga (ISP),5.0,7.3,5.0,5.0,0.0,0.0,0.0,0.0,4.5,0.9,5.4,9.0,36.0,56.0,0.68,0.0,0.68,0.68,0.68,0.61,0.13,0.74,0.61,0.74,1.76,Sol ayak,34-271,6.0,3.0,2.0,2.0,2.0,2.0,6.0,10.0,1.0,9.0,1.0,7.0,1.0
Conor Gallagher,Atletico Madrid,Merkez Orta Saha,25.0,35000000.0,1.0,0.0,0.6,17.0,585.0,ENG,MF,La Liga (ISP),4.0,6.5,1.0,1.0,0.0,0.0,2.0,0.0,0.6,0.4,1.1,15.0,23.0,26.0,0.15,0.0,0.15,0.15,0.15,0.1,0.07,0.16,0.1,0.16,1.82,Sag ayak,25-314,16.0,11.0,4.0,8.0,4.0,8.0,8.0,11.0,3.0,8.0,11.0,6.0,0.0
Thiago Almada,Atletico Madrid,Sol Kanat,24.0,20000000.0,2.0,1.0,2.3,10.0,418.0,ARG,MF,La Liga (ISP),4.0,4.6,3.0,2.0,0.0,0.0,1.0,0.0,2.3,0.9,3.2,14.0,28.0,20.0,0.43,0.22,0.65,0.43,0.65,0.49,0.2,0.69,0.49,0.69,1.71,Sag ayak,24-235,6.0,4.0,0.0,6.0,0.0,1.0,6.0,2.0,1.0,1.0,3.0,4.0,0.0
Johnny Cardoso,Atletico Madrid,On Libero,24.0,22000000.0,0.0,0.0,0.0,4.0,196.0,USA,MF,La Liga (ISP),4.0,2.2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,1.86,Sag ayak,24-088,7.0,3.0,1.0,5.0,1.0,4.0,2.0,1.0,0.0,1.0,3.0,5.0,0.0
Marc Pubill,Atletico Madrid,Sag Bek,22.0,15000000.0,0.0,1.0,0.0,5.0,293.0,ESP,DF,La Liga (ISP),3.0,3.3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.2,2.0,7.0,2.0,0.0,0.31,0.31,0.0,0.31,0.01,0.05,0.06,0.01,0.06,1.9,Sag ayak,22-180,6.0,5.0,5.0,1.0,0.0,3.0,1.0,8.0,5.0,3.0,8.0,22.0,0.0
Giacomo Raspadori,Atletico Madrid,Forvet Arkasi,25.0,22000000.0,0.0,0.0,0.7,10.0,209.0,ITA,FW,La Liga (ISP),1.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.5,1.2,4.0,5.0,21.0,0.0,0.0,0.0,0.0,0.0,0.3,0.22,0.52,0.3,0.52,1.72,Sag ayak,25-302,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
